Metric,Period Type,Period,Policy Type,Issue policy,Task type,Task,Location,location_value,result
Percentage of emergency requests where some data was disclosed,half-year,Jan-Jun 2022,all,all,all,all,Market,Argentina,0.5
Percentage of emergency requests where some data was disclosed,half-year,Jan-Jun 2022,all,all,all,all,Market,Australia,0.13
Percentage of emergency requests where some data was disclosed,half-year,Jan-Jun 2022,all,all,all,all,Market,Austria,0.25
Percentage of emergency requests where some data was disclosed,half-year,Jan-Jun 2022,all,all,all,all,Market,Belgium,0.5
Percentage of emergency requests where some data was disclosed,half-year,Jan-Jun 2022,all,all,all,all,Market,Canada,0.675
Percentage of emergency requests where some data was disclosed,half-year,Jan-Jun 2022,all,all,all,all,Market,Finland,0.17
Percentage of emergency requests where some data was disclosed,half-year,Jan-Jun 2022,all,all,all,all,Market,France,0.26
Percentage of emergency requests where some data was disclosed,half-year,Jan-Jun 2022,all,all,all,all,Market,Germany,0.52
Percentage of emergency requests where some data was disclosed,half-year,Jan-Jun 2022,all,all,all,all,Market,Greece,0.6
Percentage of emergency requests where some data was disclosed,half-year,Jan-Jun 2022,all,all,all,all,Market,Guatemala,0.62
Percentage of emergency requests where some data was disclosed,half-year,Jan-Jun 2022,all,all,all,all,Market,Israel,0.51
Percentage of emergency requests where some data was disclosed,half-year,Jan-Jun 2022,all,all,all,all,Market,Italy,0.33
Percentage of emergency requests where some data was disclosed,half-year,Jan-Jun 2022,all,all,all,all,Market,Japan,0.85
Percentage of emergency requests where some data was disclosed,half-year,Jan-Jun 2022,all,all,all,all,Market,Mexico,0.43
Percentage of emergency requests where some data was disclosed,half-year,Jan-Jun 2022,all,all,all,all,Market,Nepal,0.5
Percentage of emergency requests where some data was disclosed,half-year,Jan-Jun 2022,all,all,all,all,Market,Netherlands,0.33
Percentage of emergency requests where some data was disclosed,half-year,Jan-Jun 2022,all,all,all,all,Market,New Zealand,0.5
Percentage of emergency requests where some data was disclosed,half-year,Jan-Jun 2022,all,all,all,all,Market,Norway,0.36
Percentage of emergency requests where some data was disclosed,half-year,Jan-Jun 2022,all,all,all,all,Market,Pakistan,0.22
Percentage of emergency requests where some data was disclosed,half-year,Jan-Jun 2022,all,all,all,all,Market,Singapore,0.5
Percentage of emergency requests where some data was disclosed,half-year,Jan-Jun 2022,all,all,all,all,Market,Spain,0.5
Percentage of emergency requests where some data was disclosed,half-year,Jan-Jun 2022,all,all,all,all,Market,Sweden,0.5
Percentage of emergency requests where some data was disclosed,half-year,Jan-Jun 2022,all,all,all,all,Market,Switzerland,0.75
Percentage of emergency requests where some data was disclosed,half-year,Jan-Jun 2022,all,all,all,all,Market,United Kingdom,0.73
Percentage of emergency requests where some data was disclosed,half-year,Jan-Jun 2022,all,all,all,all,Market,United States,0.675
Percentage of legal requests where some data was disclosed,half-year,Jan-Jun 2022,all,all,all,all,Market,Argentina,0.65
Percentage of legal requests where some data was disclosed,half-year,Jan-Jun 2022,all,all,all,all,Market,Australia,0.471
Percentage of legal requests where some data was disclosed,half-year,Jan-Jun 2022,all,all,all,all,Market,Austria,0.4
Percentage of legal requests where some data was disclosed,half-year,Jan-Jun 2022,all,all,all,all,Market,Bangladesh,0.286
Percentage of legal requests where some data was disclosed,half-year,Jan-Jun 2022,all,all,all,all,Market,Belgium,0.407
Percentage of legal requests where some data was disclosed,half-year,Jan-Jun 2022,all,all,all,all,Market,Brazil,0.671
Percentage of legal requests where some data was disclosed,half-year,Jan-Jun 2022,all,all,all,all,Market,Canada,0.6
Percentage of legal requests where some data was disclosed,half-year,Jan-Jun 2022,all,all,all,all,Market,Chile,0.25
Percentage of legal requests where some data was disclosed,half-year,Jan-Jun 2022,all,all,all,all,Market,Colombia,0.286
Percentage of legal requests where some data was disclosed,half-year,Jan-Jun 2022,all,all,all,all,Market,Denmark,0.571
Percentage of legal requests where some data was disclosed,half-year,Jan-Jun 2022,all,all,all,all,Market,Estonia,0.714
Percentage of legal requests where some data was disclosed,half-year,Jan-Jun 2022,all,all,all,all,Market,Finland,0.833
Percentage of legal requests where some data was disclosed,half-year,Jan-Jun 2022,all,all,all,all,Market,France,0.366
Percentage of legal requests where some data was disclosed,half-year,Jan-Jun 2022,all,all,all,all,Market,Germany,0.475
Percentage of legal requests where some data was disclosed,half-year,Jan-Jun 2022,all,all,all,all,Market,Greece,0.543
Percentage of legal requests where some data was disclosed,half-year,Jan-Jun 2022,all,all,all,all,Market,Guatemala,0.5
Percentage of legal requests where some data was disclosed,half-year,Jan-Jun 2022,all,all,all,all,Market,Hungary,0.5
Percentage of legal requests where some data was disclosed,half-year,Jan-Jun 2022,all,all,all,all,Market,Ireland,0.69
Percentage of legal requests where some data was disclosed,half-year,Jan-Jun 2022,all,all,all,all,Market,Israel,0.52
Percentage of legal requests where some data was disclosed,half-year,Jan-Jun 2022,all,all,all,all,Market,Italy,0.284
Percentage of legal requests where some data was disclosed,half-year,Jan-Jun 2022,all,all,all,all,Market,Jordan,0.044
Percentage of legal requests where some data was disclosed,half-year,Jan-Jun 2022,all,all,all,all,Market,Malta,0.75
Percentage of legal requests where some data was disclosed,half-year,Jan-Jun 2022,all,all,all,all,Market,Mexico,0.333
Percentage of legal requests where some data was disclosed,half-year,Jan-Jun 2022,all,all,all,all,Market,Nepal,0.167
Percentage of legal requests where some data was disclosed,half-year,Jan-Jun 2022,all,all,all,all,Market,Netherlands,0.565
Percentage of legal requests where some data was disclosed,half-year,Jan-Jun 2022,all,all,all,all,Market,New Zealand,0.75
Percentage of legal requests where some data was disclosed,half-year,Jan-Jun 2022,all,all,all,all,Market,Norway,0.25
Percentage of legal requests where some data was disclosed,half-year,Jan-Jun 2022,all,all,all,all,Market,Paraguay,0.5
Percentage of legal requests where some data was disclosed,half-year,Jan-Jun 2022,all,all,all,all,Market,Poland,0.217
Percentage of legal requests where some data was disclosed,half-year,Jan-Jun 2022,all,all,all,all,Market,Romania,0.588
Percentage of legal requests where some data was disclosed,half-year,Jan-Jun 2022,all,all,all,all,Market,Singapore,0.585
Percentage of legal requests where some data was disclosed,half-year,Jan-Jun 2022,all,all,all,all,Market,Slovenia,0.333
Percentage of legal requests where some data was disclosed,half-year,Jan-Jun 2022,all,all,all,all,Market,South Korea,0.444
Percentage of legal requests where some data was disclosed,half-year,Jan-Jun 2022,all,all,all,all,Market,Spain,0.33
Percentage of legal requests where some data was disclosed,half-year,Jan-Jun 2022,all,all,all,all,Market,Sweden,0.716
Percentage of legal requests where some data was disclosed,half-year,Jan-Jun 2022,all,all,all,all,Market,Switzerland,0.429
Percentage of legal requests where some data was disclosed,half-year,Jan-Jun 2022,all,all,all,all,Market,United Kingdom,0.612
Percentage of legal requests where some data was disclosed,half-year,Jan-Jun 2022,all,all,all,all,Market,United States,0.722
Emergency request accounts specified,half-year,Jan-Jun 2022,all,all,all,all,Market,Colombia,0
Emergency request accounts specified,half-year,Jan-Jun 2022,all,all,all,all,Market,Croatia,0
Emergency request accounts specified,half-year,Jan-Jun 2022,all,all,all,all,Market,Cyprus,0
Emergency request accounts specified,half-year,Jan-Jun 2022,all,all,all,all,Market,Estonia,0
Emergency request accounts specified,half-year,Jan-Jun 2022,all,all,all,all,Market,Hungary,0
Emergency request accounts specified,half-year,Jan-Jun 2022,all,all,all,all,Market,Macedonia,0
Emergency request accounts specified,half-year,Jan-Jun 2022,all,all,all,all,Market,Malaysia,0
Emergency request accounts specified,half-year,Jan-Jun 2022,all,all,all,all,Market,Malta,0
Emergency request accounts specified,half-year,Jan-Jun 2022,all,all,all,all,Market,Peru,0
Emergency request accounts specified,half-year,Jan-Jun 2022,all,all,all,all,Market,Portugal,0
Emergency request accounts specified,half-year,Jan-Jun 2022,all,all,all,all,Market,Serbia,0
Emergency request accounts specified,half-year,Jan-Jun 2022,all,all,all,all,Market,Slovenia,0
Emergency request accounts specified,half-year,Jan-Jun 2022,all,all,all,all,Market,Thailand,0
Emergency request accounts specified,half-year,Jan-Jun 2022,all,all,all,all,Market,Turkey,0
Emergency requests,half-year,Jan-Jun 2022,all,all,all,all,Market,Colombia,0
Emergency requests,half-year,Jan-Jun 2022,all,all,all,all,Market,Croatia,0
Emergency requests,half-year,Jan-Jun 2022,all,all,all,all,Market,Cyprus,0
Emergency requests,half-year,Jan-Jun 2022,all,all,all,all,Market,Estonia,0
Emergency requests,half-year,Jan-Jun 2022,all,all,all,all,Market,Hungary,0
Emergency requests,half-year,Jan-Jun 2022,all,all,all,all,Market,Macedonia,0
Emergency requests,half-year,Jan-Jun 2022,all,all,all,all,Market,Malaysia,0
Emergency requests,half-year,Jan-Jun 2022,all,all,all,all,Market,Malta,0
Emergency requests,half-year,Jan-Jun 2022,all,all,all,all,Market,Peru,0
Emergency requests,half-year,Jan-Jun 2022,all,all,all,all,Market,Portugal,0
Emergency requests,half-year,Jan-Jun 2022,all,all,all,all,Market,Serbia,0
Emergency requests,half-year,Jan-Jun 2022,all,all,all,all,Market,Slovenia,0
Emergency requests,half-year,Jan-Jun 2022,all,all,all,all,Market,Thailand,0
Emergency requests,half-year,Jan-Jun 2022,all,all,all,all,Market,Turkey,0
Legal request accounts specified,half-year,Jan-Jun 2022,all,all,all,all,Market,Albania,0
Legal request accounts specified,half-year,Jan-Jun 2022,all,all,all,all,Market,Bolivia,0
Legal request accounts specified,half-year,Jan-Jun 2022,all,all,all,all,Market,Cyprus,0
Legal request accounts specified,half-year,Jan-Jun 2022,all,all,all,all,Market,Egypt,0
Legal request accounts specified,half-year,Jan-Jun 2022,all,all,all,all,Market,Indonesia,0
Legal request accounts specified,half-year,Jan-Jun 2022,all,all,all,all,Market,Kosovo,0
Legal request accounts specified,half-year,Jan-Jun 2022,all,all,all,all,Market,Maldives,0
Legal request accounts specified,half-year,Jan-Jun 2022,all,all,all,all,Market,Moldova,0
Legal request accounts specified,half-year,Jan-Jun 2022,all,all,all,all,Market,Monaco,0
Legal request accounts specified,half-year,Jan-Jun 2022,all,all,all,all,Market,Philippines,0
Legal request accounts specified,half-year,Jan-Jun 2022,all,all,all,all,Market,Uruguay,0
Legal requests,half-year,Jan-Jun 2022,all,all,all,all,Market,Albania,0
Legal requests,half-year,Jan-Jun 2022,all,all,all,all,Market,Bolivia,0
Legal requests,half-year,Jan-Jun 2022,all,all,all,all,Market,Cyprus,0
Legal requests,half-year,Jan-Jun 2022,all,all,all,all,Market,Egypt,0
Legal requests,half-year,Jan-Jun 2022,all,all,all,all,Market,Indonesia,0
Legal requests,half-year,Jan-Jun 2022,all,all,all,all,Market,Kosovo,0
Legal requests,half-year,Jan-Jun 2022,all,all,all,all,Market,Maldives,0
Legal requests,half-year,Jan-Jun 2022,all,all,all,all,Market,Moldova,0
